epoch,train_loss,train_acc,val_loss,val_acc
1,1.7416,39.43,1.1828,65.33
2,1.2916,58.64,1.0702,72.67
3,1.223,60.57,1.0926,66.33
4,1.1794,63.29,1.051,75.0
5,1.1634,64.93,1.0632,68.67
6,1.1231,67.0,1.0703,72.67
7,1.1406,66.29,1.0493,69.33
8,1.0664,68.79,1.0998,63.33
9,1.1125,67.29,1.0385,71.0
10,1.0829,67.36,1.0491,70.0
11,1.0373,71.5,1.0636,70.0
12,1.057,69.57,0.9916,73.0
13,1.0422,69.57,1.0217,71.67
14,1.0182,71.71,0.9686,73.33
15,1.0088,74.0,0.9526,75.0
16,1.0058,72.14,0.9905,72.0
17,1.0129,71.5,0.9364,75.33
18,0.9799,74.57,0.907,79.0
19,1.0019,72.86,0.9384,77.33
20,0.9748,74.5,0.9226,77.0
21,0.982,73.14,0.9233,78.0
22,0.9687,73.86,0.9112,78.0
23,0.9711,74.0,0.9228,77.33
24,0.9557,74.86,0.939,77.0
25,0.9364,75.93,0.9152,78.0
26,0.9413,76.43,0.9081,79.0
27,0.9462,76.29,0.9149,77.67
28,0.9257,77.93,0.9022,78.33
29,0.9262,77.5,0.9161,77.67
30,0.9471,76.07,0.9149,77.0
